"","superkingdom","phylum","class","order","family","genus","species"
"ca818d9bb9b08a90457fcbf55d7a02e6","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"1cf5e734c68f2043a578ee59148a1366","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"0c2b06431d2af4e3ed1b10f5e7fdc494","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"a5a32d4cf3e6ababbcef816cf3f78382","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"4d30fbf2df1e4f338b56ab0db38ba53b","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"46cb68746dd5cdccd355724a2abb19e0","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter chitinilyticus"
"425b72a9e2d9c53685a1ea7ad1c3604f","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella",NA
"7af2f1805af0edf858ea037164aa7612",NA,NA,NA,NA,NA,NA,NA
"ab621f51ee819cba25eaf37759719f4e","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella",NA
"13e2970fcc89734d16d65f8d6b8d3c52",NA,NA,NA,NA,NA,NA,NA
"bd706aaa7c12cb8c8ebe7e5899eab6ef","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Albibacterium","Albibacterium bauzanense"
"90a3fb39ae1f949965b5e620ced43c75","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Albibacterium","Albibacterium bauzanense"
"2da28a6c7849ffa3698e0c6f3af12162","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Albibacterium","Albibacterium bauzanense"
"d68ff9948ce04d924b8ff5c49385988b","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pararcticibacter","Pararcticibacter amylolyticus"
"0f7e22427723dcb941747736a70ac479","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter quisquiliarum"
"6c95e009cf82436ea8fa7b58c78903af","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter bambusae"
"503b8ff911b304ccd56137ab0755be20","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Snodgrassella","Snodgrassella communis"
"3b9cffdf461e9f20a59d02418d754093","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Cellulosilyticum","Cellulosilyticum lentocellum"
"a81f085ef18587679364c010a1ce4a4a",NA,NA,NA,NA,NA,NA,NA
"b095062de45dfa04118c5ab15795747a","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter arcticus"
"0b1adb954e69416b531aa1994184b281","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium multivorum"
"8f9e3b3c5c3fc2aaf789b0831988708a","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae",NA,NA
"95e2df313f9931997204093d938804b2",NA,NA,NA,NA,NA,NA,NA
"de02a782f9cb4d6735d726359ded3b1e",NA,NA,NA,NA,NA,NA,NA
"247af1dd24a55afb5a62e8547bd5d3d1",NA,NA,NA,NA,NA,NA,NA
"d075b53793516b38e7e334ba2f0f87b0",NA,NA,NA,NA,NA,NA,NA
"315b8c974cc5c5c70d7d11b2801ef22a",NA,NA,NA,NA,NA,NA,NA
"7bb177872f38950efeb0fb0697eb1fbb","Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA
"1dfe287dadfbfcd512d0ef8efb89d2a7","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Edaphobaculum","Edaphobaculum flavum"
"878b4413822e08cb071d2df18aa2585f","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga hostae"
"8748ac725a81067506cece52d3bcd725","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga chungangae"
"892973e58c19a34ee9894a1dd1aa1f60","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Hanamia","Hanamia caeni"
"c51af881118f4b96d3f6ee84b6c80a69","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga hostae"
"5c305c5213ed71f461bf10b2e45d12b2",NA,NA,NA,NA,NA,NA,NA
"a4826d02d5d231483edd4382b50f1fb5","Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga hostae"
"c1e162c111d5f2ab45f7ab1606d8e63a",NA,NA,NA,NA,NA,NA,NA
"4c4b6545576dc2c27415e4c3c2e753b4","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia tetrahydrofuranoxydans"
"6937f03f7b6d1e5f5bfe5b41ce6113b4","Bacteria","Actinobacteria","Actinomycetia","Geodermatophilales","Geodermatophilaceae","Geodermatophilus",NA
"81405469a59fef7e50cbb00fea9906cf",NA,NA,NA,NA,NA,NA,NA
"98c4b9a3716c3303104708227c1244be",NA,NA,NA,NA,NA,NA,NA
"be775a9562f620281c065597fd8ba9bf","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus fascians"
